method:db:BMCdb:1	(5S\s+rRNA\s+Data\s+Bank)
method:sw:b.de:244	(TreeDis)
method:sw:b.de:245	(TreeEdit)
method:sw:b.de:246	(TREEFINDER)
method:sw:b.de:247	(TreeMap)
method:sw:b.de:248	(TREEVIEW)
method:sw:b.de:249	(TreeView\s+X)
method:sw:b.de:250	(UVP)
method:sw:b.de:251	(Vector\s+NTI\s+Suite)
method:sw:b.de:252	(VISTA)
method:sw:b.de:253	(Visualisation)
method:sw:b.de:254	(VMD)
method:sw:b.de:255	(W2H)
method:sw:b.de:256	(Web\s+based\s+protein\s+analysis\s+tools\s+at\s+the\s+Biophysics\s+Lab)
method:sw:b.de:257	(Web\s+Service)
method:sw:b.de:258	(WEBGENE)
method:sw:b.de:259	(Webinterface)
method:sw:b.de:260	(Weighbor)
method:sw:b.de:261	(WHAT\s+IF)
method:sw:b.de:262	(WinPep)
method:sw:b.de:263	(Wise2)
method:pkg:bioC:1	(a4)
method:pkg:bioC:2	(a4Base)
method:pkg:bioC:3	(a4Classif)
method:pkg:bioC:4	(a4Core)
method:pkg:bioC:5	(a4Preproc)
method:pkg:bioC:6	(a4Reporting)
method:pkg:bioC:7	(ABarray)
method:pkg:bioC:8	(aCGH)
method:pkg:bioC:9	(ACME)
method:pkg:bioC:10	(ADaCGH2)
method:pkg:bioC:11	(adSplit)
method:pkg:bioC:12	(affxparser)
method:pkg:bioC:13	(affy)
method:pkg:bioC:14	(affycomp)
method:pkg:bioC:15	(AffyCompatible)
method:pkg:bioC:16	(affycompData)
method:pkg:bioC:17	(affyContam)
method:pkg:bioC:18	(affycoretools)
method:pkg:bioC:19	(affydata)
method:pkg:bioC:20	(affyExonMuncher)
method:pkg:bioC:21	(AffyExpress)
method:pkg:bioC:22	(affyILM)
method:pkg:bioC:23	(affyio)
method:pkg:bioC:24	(affylmGUI)
method:pkg:bioC:25	(AffymetrixDataTestFiles)
method:pkg:bioC:26	(affyPara)
method:pkg:bioC:27	(affypdnn)
method:pkg:bioC:28	(affyPLM)
method:pkg:bioC:29	(affyQCReport)
method:pkg:bioC:30	(AffyRNADegradation)
method:pkg:bioC:31	(AffyTiling)
method:pkg:bioC:32	(AGDEX)
method:pkg:bioC:33	(Agi4x44PreProcess)
method:pkg:bioC:34	(AgiMicroRna)
method:pkg:bioC:35	(ALL)
method:pkg:bioC:36	(ALLMLL)
method:pkg:bioC:37	(altcdfenvs)
method:pkg:bioC:38	(AmpAffyExample)
method:pkg:bioC:39	(annaffy)
method:pkg:bioC:40	(annotate)
method:pkg:bioC:41	(AnnotationDbi)
method:pkg:bioC:42	(AnnotationFuncs)
method:pkg:bioC:43	(annotationTools)
method:pkg:bioC:44	(anota)
method:pkg:bioC:45	(apComplex)
method:pkg:bioC:46	(aroma\.light)
method:pkg:bioC:47	(ArrayExpress)
method:pkg:bioC:48	(ArrayExpressHTS)
method:pkg:bioC:49	(arrayMvout)
method:pkg:bioC:50	(arrayQuality)
method:pkg:bioC:51	(arrayQualityMetrics)
method:pkg:bioC:52	(ArrayTools)
method:pkg:bioC:53	(ASEB)
method:pkg:bioC:54	(attract)
method:pkg:bioC:55	(BAC)
method:pkg:bioC:56	(basePLM)
method:pkg:bioC:57	(BayesPeak)
method:pkg:bioC:58	(baySeq)
method:pkg:bioC:59	(BCRANK)
method:pkg:bioC:60	(beadarray)
method:pkg:bioC:61	(beadarrayExampleData)
method:pkg:bioC:62	(beadarraySNP)
method:pkg:bioC:63	(BeadArrayUseCases)
method:pkg:bioC:64	(BeadDataPackR)
method:pkg:bioC:65	(beta7)
method:pkg:bioC:66	(betr)
method:pkg:bioC:67	(bgafun)
method:pkg:bioC:68	(BGmix)
method:pkg:bioC:69	(bgx)
method:pkg:bioC:70	(BHC)
method:pkg:bioC:71	(BicARE)
method:pkg:bioC:72	(Biobase)
method:pkg:bioC:73	(BiocCaseStudies)
method:pkg:bioC:74	(BiocGenerics)
method:pkg:bioC:75	(biocGraph)
method:pkg:bioC:76	(BiocInstaller)
method:pkg:bioC:77	(biocViews)
method:pkg:bioC:78	(bioDist)
method:pkg:bioC:79	(biomaRt)
method:pkg:bioC:80	(BioMVCClass)
method:pkg:bioC:81	(BioNet)
method:pkg:bioC:82	(BioSeqClass)
method:pkg:bioC:83	(Biostrings)
method:pkg:bioC:84	(biovizBase)
method:pkg:bioC:85	(bladderbatch)
method:pkg:bioC:86	(breastCancerMAINZ)
method:pkg:bioC:87	(breastCancerNKI)
method:pkg:bioC:88	(breastCancerTRANSBIG)
method:pkg:bioC:89	(breastCancerUNT)
method:pkg:bioC:90	(breastCancerUPP)
method:pkg:bioC:91	(breastCancerVDX)
method:pkg:bioC:92	(bridge)
method:pkg:bioC:93	(bronchialIL13)
method:pkg:bioC:94	(BSgenome)
method:pkg:bioC:95	(BufferedMatrix)
method:pkg:bioC:96	(BufferedMatrixMethods)
method:pkg:bioC:97	(BUS)
method:pkg:bioC:98	(caFlowQ)
method:pkg:bioC:99	(CALIB)
method:pkg:bioC:100	(CAMERA)
method:pkg:bioC:101	(Category)
method:pkg:bioC:102	(CCl4)
method:pkg:bioC:103	(ccTutorial)
method:pkg:bioC:104	(cellHTS)
method:pkg:bioC:105	(cellHTS2)
method:pkg:bioC:106	(CellNOptR)
method:pkg:bioC:107	(ceu1kg)
method:pkg:bioC:108	(ceuhm3)
method:pkg:bioC:109	(cgdv17)
method:pkg:bioC:110	(CGEN)
method:pkg:bioC:111	(CGHbase)
method:pkg:bioC:112	(CGHcall)
method:pkg:bioC:113	(cghMCR)
method:pkg:bioC:114	(CGHnormaliter)
method:pkg:bioC:115	(CGHregions)
method:pkg:bioC:116	(charm)
method:pkg:bioC:117	(charmData)
method:pkg:bioC:118	(ChemmineR)
method:pkg:bioC:119	(cheung2010)
method:pkg:bioC:120	(ChIPpeakAnno)
method:pkg:bioC:121	(chipseq)
method:pkg:bioC:122	(ChIPseqR)
method:pkg:bioC:123	(ChIPsim)
method:pkg:bioC:124	(chopsticks)
method:pkg:bioC:125	(ChromHeatMap)
method:pkg:bioC:126	(clippda)
method:pkg:bioC:127	(CLL)
method:pkg:bioC:128	(Clonality)
method:pkg:bioC:129	(CloudBioc)
method:pkg:bioC:130	(clst)
method:pkg:bioC:131	(clstutils)
method:pkg:bioC:132	(clusterProfiler)
method:pkg:bioC:133	(clusterStab)
method:pkg:bioC:134	(CMA)
method:pkg:bioC:135	(cn\.farms)
method:pkg:bioC:136	(cn\.mops)
method:pkg:bioC:137	(CNAnorm)
method:pkg:bioC:138	(CNTools)
method:pkg:bioC:139	(CNVtools)
method:pkg:bioC:140	(CoCiteStats)
method:pkg:bioC:141	(codelink)
method:pkg:bioC:142	(codetoolsBioC)
method:pkg:bioC:143	(CoGAPS)
method:pkg:bioC:144	(colonCA)
method:pkg:bioC:145	(ConsensusClusterPlus)
method:pkg:bioC:146	(convert)
method:pkg:bioC:147	(copa)
method:pkg:bioC:148	(Cormotif)
method:pkg:bioC:149	(coRNAi)
method:pkg:bioC:150	(CORREP)
method:pkg:bioC:151	(cosmo)
method:pkg:bioC:152	(cosmoGUI)
method:pkg:bioC:153	(cqn)
method:pkg:bioC:154	(CRImage)
method:pkg:bioC:155	(crlmm)
method:pkg:bioC:156	(CSAR)
method:pkg:bioC:157	(ctc)
method:pkg:bioC:158	(cummeRbund)
method:pkg:bioC:159	(cycle)
method:pkg:bioC:160	(daMA)
method:pkg:bioC:161	(DART)
method:pkg:bioC:162	(DAVIDQuery)
method:pkg:bioC:163	(davidTiling)
method:pkg:bioC:164	(ddCt)
method:pkg:bioC:165	(DECIPHER)
method:pkg:bioC:166	(DEDS)
method:pkg:bioC:167	(deepSNV)
method:pkg:bioC:168	(DEGraph)
method:pkg:bioC:169	(DEGseq)
method:pkg:bioC:170	(DESeq)
method:pkg:bioC:171	(DEXSeq)
method:pkg:bioC:172	(DFP)
method:pkg:bioC:173	(DiffBind)
method:pkg:bioC:174	(diffGeneAnalysis)
method:pkg:bioC:175	(dks)
method:pkg:bioC:176	(DLBCL)
method:pkg:bioC:177	(DNAcopy)
method:pkg:bioC:178	(domainsignatures)
method:pkg:bioC:179	(DOSE)
method:pkg:bioC:180	(dressCheck)
method:pkg:bioC:181	(dsQTL)
method:pkg:bioC:182	(DTA)
method:pkg:bioC:183	(dualKS)
method:pkg:bioC:184	(dyebias)
method:pkg:bioC:185	(dyebiasexamples)
method:pkg:bioC:186	(DynDoc)
method:pkg:bioC:187	(easyRNASeq)
method:pkg:bioC:188	(EatonEtAlChIPseq)
method:pkg:bioC:189	(EBarrays)
method:pkg:bioC:190	(EBImage)
method:pkg:bioC:191	(ecoliLeucine)
method:pkg:bioC:192	(ecolitk)
method:pkg:bioC:193	(EDASeq)
method:pkg:bioC:194	(edd)
method:pkg:bioC:195	(edgeR)
method:pkg:bioC:196	(eisa)
method:pkg:bioC:197	(ENCODEFig4Band4D)
method:pkg:bioC:198	(encoDnaseI)
method:pkg:bioC:199	(ENVISIONQuery)
method:pkg:bioC:200	(epistasis)
method:pkg:bioC:201	(estimateGenomicOverlaps)
method:pkg:bioC:202	(estrogen)
method:pkg:bioC:203	(ExiMiR)
method:pkg:bioC:204	(exomeCopy)
method:pkg:bioC:205	(explorase)
method:pkg:bioC:206	(ExpressionView)
method:pkg:bioC:207	(externalVector)
method:pkg:bioC:208	(faahKO)
method:pkg:bioC:209	(fabia)
method:pkg:bioC:210	(facsDorit)
method:pkg:bioC:211	(factDesign)
method:pkg:bioC:212	(farms)
method:pkg:bioC:213	(fastseg)
method:pkg:bioC:214	(fdrame)
method:pkg:bioC:215	(fibroEset)
method:pkg:bioC:216	(flagme)
method:pkg:bioC:217	(flowClust)
method:pkg:bioC:218	(flowCore)
method:pkg:bioC:219	(flowDB)
method:pkg:bioC:220	(flowFlowJo)
method:pkg:bioC:221	(flowFP)
method:pkg:bioC:222	(flowMeans)
method:pkg:bioC:223	(flowMerge)
method:pkg:bioC:224	(flowNorm)
method:pkg:bioC:225	(flowPhyto)
method:pkg:bioC:226	(flowPlots)
method:pkg:bioC:227	(flowQ)
method:pkg:bioC:228	(flowStats)
method:pkg:bioC:229	(flowTrans)
method:pkg:bioC:230	(flowType)
method:pkg:bioC:231	(flowUtils)
method:pkg:bioC:232	(flowViz)
method:pkg:bioC:233	(flowWorkspace)
method:pkg:bioC:234	(flowWorkspaceData)
method:pkg:bioC:235	(flygrid)
method:pkg:bioC:236	(frma)
method:pkg:bioC:237	(frmaExampleData)
method:pkg:bioC:238	(frmaTools)
method:pkg:bioC:239	(gaga)
method:pkg:bioC:240	(gage)
method:pkg:bioC:241	(gageData)
method:pkg:bioC:242	(gaggle)
method:pkg:bioC:243	(gaia)
method:pkg:bioC:244	(gaschYHS)
method:pkg:bioC:245	(gatingMLData)
method:pkg:bioC:246	(gcrma)
method:pkg:bioC:247	(gcspikelite)
method:pkg:bioC:248	(genArise)
method:pkg:bioC:249	(gene2pathway)
method:pkg:bioC:250	(GeneAnswers)
method:pkg:bioC:251	(GeneExpressionSignature)
method:pkg:bioC:252	(genefilter)
method:pkg:bioC:253	(genefu)
method:pkg:bioC:254	(GeneGA)
method:pkg:bioC:255	(GeneGroupAnalysis)
method:pkg:bioC:256	(geneLenDataBase)
method:pkg:bioC:257	(GeneMeta)
method:pkg:bioC:258	(geneplotter)
method:pkg:bioC:259	(GeneR)
method:pkg:bioC:260	(geneRecommender)
method:pkg:bioC:261	(GeneRegionScan)
method:pkg:bioC:262	(GeneRfold)
method:pkg:bioC:263	(GeneSelectMMD)
method:pkg:bioC:264	(GeneSelector)
method:pkg:bioC:265	(GeneticsDesign)
method:pkg:bioC:266	(GeneticsPed)
method:pkg:bioC:267	(GeneTraffic)
method:pkg:bioC:268	(genetw12)
method:pkg:bioC:269	(genoCN)
method:pkg:bioC:270	(GenomeGraphs)
method:pkg:bioC:271	(genomeIntervals)
method:pkg:bioC:272	(genomes)
method:pkg:bioC:273	(GenomicFeatures)
method:pkg:bioC:274	(GenomicFeatures\.Hsapiens\.UCSC\.hg18)
method:pkg:bioC:275	(GenomicFeatures\.Mmusculus\.UCSC\.mm9)
method:pkg:bioC:276	(GenomicRanges)
method:pkg:bioC:277	(Genominator)
method:pkg:bioC:278	(genoset)
method:pkg:bioC:279	(GEOmetadb)
method:pkg:bioC:280	(GEOquery)
method:pkg:bioC:281	(GEOsubmission)
method:pkg:bioC:282	(GEWIST)
method:pkg:bioC:283	(GGBase)
method:pkg:bioC:284	(ggbio)
method:pkg:bioC:285	(GGdata)
method:pkg:bioC:286	(GGtools)
method:pkg:bioC:287	(ggtut)
method:pkg:bioC:288	(girafe)
method:pkg:bioC:289	(GLAD)
method:pkg:bioC:290	(GlobalAncova)
method:pkg:bioC:291	(globaltest)
method:pkg:bioC:292	(GMAPgsnaptally)
method:pkg:bioC:293	(gmapR)
method:pkg:bioC:294	(GOFunction)
method:pkg:bioC:295	(golubEsets)
method:pkg:bioC:296	(goProfiles)
method:pkg:bioC:297	(GOSemSim)
method:pkg:bioC:298	(goseq)
method:pkg:bioC:299	(GOstats)
method:pkg:bioC:300	(goTools)
method:pkg:bioC:301	(gpls)
method:pkg:bioC:302	(graph)
method:pkg:bioC:303	(GraphAlignment)
method:pkg:bioC:304	(GraphAT)
method:pkg:bioC:305	(graphite)
method:pkg:bioC:306	(graphPart)
method:pkg:bioC:307	(GRENITS)
method:pkg:bioC:308	(GSEABase)
method:pkg:bioC:309	(GSEAlm)
method:pkg:bioC:310	(GSRI)
method:pkg:bioC:311	(GSVA)
method:pkg:bioC:312	(GSVAdata)
method:pkg:bioC:313	(Gviz)
method:pkg:bioC:314	(gwascat)
method:pkg:bioC:315	(GWASdata)
method:pkg:bioC:316	(GWASTools)
method:pkg:bioC:317	(hapmap100khind)
method:pkg:bioC:318	(hapmap100kxba)
method:pkg:bioC:319	(hapmap500knsp)
method:pkg:bioC:320	(hapmap500ksty)
method:pkg:bioC:321	(hapmapsnp5)
method:pkg:bioC:322	(hapmapsnp6)
method:pkg:bioC:323	(harbChIP)
method:pkg:bioC:324	(Harshlight)
method:pkg:bioC:325	(hdf5)
method:pkg:bioC:326	(Heatplus)
method:pkg:bioC:327	(HEEBOdata)
method:pkg:bioC:328	(HELP)
method:pkg:bioC:329	(HEM)
method:pkg:bioC:330	(hexbin)
method:pkg:bioC:331	(hgu133abarcodevecs)
method:pkg:bioC:332	(hgu133afrmavecs)
method:pkg:bioC:333	(hgu133plus2barcodevecs)
method:pkg:bioC:334	(hgu133plus2frmavecs)
method:pkg:bioC:335	(hgu2beta7)
method:pkg:bioC:336	(HilbertVis)
method:pkg:bioC:337	(HilbertVisGUI)
method:pkg:bioC:338	(HIVcDNAvantWout03)
method:pkg:bioC:339	(hmyriB36)
method:pkg:bioC:340	(hopach)
method:pkg:bioC:341	(HTqPCR)
method:pkg:bioC:342	(HTSanalyzeR)
method:pkg:bioC:343	(HTSeqGenieBase)
method:pkg:bioC:344	(htSeqTools)
method:pkg:bioC:345	(humanStemCell)
method:pkg:bioC:346	(hyperdraw)
method:pkg:bioC:347	(hypergraph)
method:pkg:bioC:348	(ibh)
method:pkg:bioC:349	(Icens)
method:pkg:bioC:350	(iChip)
method:pkg:bioC:351	(idiogram)
method:pkg:bioC:352	(IdMappingRetrieval)
method:pkg:bioC:353	(iFlow)
method:pkg:bioC:354	(IlluminaHumanMethylation450kmanifest)
method:pkg:bioC:355	(imageHTS)
method:pkg:bioC:356	(impute)
method:pkg:bioC:357	(ind1KG)
method:pkg:bioC:358	(inSilicoDb)
method:pkg:bioC:359	(inveRsion)
method:pkg:bioC:360	(iontree)
method:pkg:bioC:361	(iontreeData)
method:pkg:bioC:362	(ior)
method:pkg:bioC:363	(IPPD)
method:pkg:bioC:364	(IRanges)
method:pkg:bioC:365	(iSeq)
method:pkg:bioC:366	(isobar)
method:pkg:bioC:367	(IsoGeneGUI)
method:pkg:bioC:368	(ITALICS)
method:pkg:bioC:369	(ITALICSData)
method:pkg:bioC:370	(iterativeBMA)
method:pkg:bioC:371	(iterativeBMAsurv)
method:pkg:bioC:372	(Iyer517)
method:pkg:bioC:373	(joda)
method:pkg:bioC:374	(KCsmart)
method:pkg:bioC:375	(KEGGgraph)
method:pkg:bioC:376	(keggorthology)
method:pkg:bioC:377	(KEGGSOAP)
method:pkg:bioC:378	(kidpack)
method:pkg:bioC:379	(labour)
method:pkg:bioC:380	(lapmix)
method:pkg:bioC:381	(LBE)
method:pkg:bioC:382	(leeBamViews)
method:pkg:bioC:383	(les)
method:pkg:bioC:384	(LiebermanAidenHiC2009)
method:pkg:bioC:385	(limma)
method:pkg:bioC:386	(limmaGUI)
method:pkg:bioC:387	(LiquidAssociation)
method:pkg:bioC:388	(LMGene)
method:pkg:bioC:389	(logicFS)
method:pkg:bioC:390	(logitT)
method:pkg:bioC:391	(lol)
method:pkg:bioC:392	(LPE)
method:pkg:bioC:393	(LPEadj)
method:pkg:bioC:394	(lumi)
method:pkg:bioC:395	(lumiBarnes)
method:pkg:bioC:396	(lungExpression)
method:pkg:bioC:397	(LVSmiRNA)
method:pkg:bioC:398	(lymphoma)
method:pkg:bioC:399	(maanova)
method:pkg:bioC:400	(macat)
method:pkg:bioC:401	(maCorrPlot)
method:pkg:bioC:402	(maDB)
method:pkg:bioC:403	(made4)
method:pkg:bioC:404	(maigesPack)
method:pkg:bioC:405	(makecdfenv)
method:pkg:bioC:406	(MANOR)
method:pkg:bioC:407	(manta)
method:pkg:bioC:408	(MantelCorr)
method:pkg:bioC:409	(maqcExpression4plex)
method:pkg:bioC:410	(MAQCsubset)
method:pkg:bioC:411	(MAQCsubsetAFX)
method:pkg:bioC:412	(MAQCsubsetILM)
method:pkg:bioC:413	(marray)
method:pkg:bioC:414	(maSigPro)
method:pkg:bioC:415	(maskBAD)
method:pkg:bioC:416	(MassArray)
method:pkg:bioC:417	(MassSpecWavelet)
method:pkg:bioC:418	(MBCB)
method:pkg:bioC:419	(mBPCR)
method:pkg:bioC:420	(mcaGUI)
method:pkg:bioC:421	(MCRestimate)
method:pkg:bioC:422	(mdqc)
method:pkg:bioC:423	(MeasurementError\.cor)
method:pkg:bioC:424	(MEDIPS)
method:pkg:bioC:425	(MEDME)
method:pkg:bioC:426	(MEEBOdata)
method:pkg:bioC:427	(MergeMaid)
method:pkg:bioC:428	(metaArray)
method:pkg:bioC:429	(metahdep)
method:pkg:bioC:430	(methVisual)
method:pkg:bioC:431	(methylumi)
method:pkg:bioC:432	(Mfuzz)
method:pkg:bioC:433	(mgsa)
method:pkg:bioC:434	(MiChip)
method:pkg:bioC:435	(microRNA)
method:pkg:bioC:436	(minet)
method:pkg:bioC:437	(minfi)
method:pkg:bioC:438	(minfiData)
method:pkg:bioC:439	(MiPP)
method:pkg:bioC:440	(miRNApath)
method:pkg:bioC:441	(MLInterfaces)
method:pkg:bioC:442	(MLP)
method:pkg:bioC:443	(MmPalateMiRNA)
method:pkg:bioC:444	(mosaics)
method:pkg:bioC:445	(mosaicsExample)
method:pkg:bioC:446	(MotIV)
method:pkg:bioC:447	(mouse4302barcodevecs)
method:pkg:bioC:448	(mouse4302frmavecs)
method:pkg:bioC:449	(msdata)
method:pkg:bioC:450	(MSnbase)
method:pkg:bioC:451	(Mulcom)
method:pkg:bioC:452	(multiscan)
method:pkg:bioC:453	(multtest)
method:pkg:bioC:454	(MutableRanges)
method:pkg:bioC:455	(MVCClass)
method:pkg:bioC:456	(mvoutData)
method:pkg:bioC:457	(mzR)
method:pkg:bioC:458	(ncdfFlow)
method:pkg:bioC:459	(NCIgraph)
method:pkg:bioC:460	(NCIgraphData)
method:pkg:bioC:461	(nem)
method:pkg:bioC:462	(netresponse)
method:pkg:bioC:463	(Neve2006)
method:pkg:bioC:464	(nnNorm)
method:pkg:bioC:465	(NormqPCR)
method:pkg:bioC:466	(NTW)
method:pkg:bioC:467	(nucleR)
method:pkg:bioC:468	(nudge)
method:pkg:bioC:469	(NuPoP)
method:pkg:bioC:470	(occugene)
method:pkg:bioC:471	(OCplus)
method:pkg:bioC:472	(oligo)
method:pkg:bioC:473	(oligoClasses)
method:pkg:bioC:474	(OLIN)
method:pkg:bioC:475	(OLINgui)
method:pkg:bioC:476	(oneChannelGUI)
method:pkg:bioC:477	(ontoCAT)
method:pkg:bioC:478	(ontoTools)
method:pkg:bioC:479	(OrderedList)
method:pkg:bioC:480	(OrganismDbi)
method:pkg:bioC:481	(OTUbase)
method:pkg:bioC:482	(OutlierD)
method:pkg:bioC:483	(pamr)
method:pkg:bioC:484	(PAN)
method:pkg:bioC:485	(PAnnBuilder)
method:pkg:bioC:486	(panp)
method:pkg:bioC:487	(parimport)
method:pkg:bioC:488	(parody)
method:pkg:bioC:489	(pasilla)
method:pkg:bioC:490	(pathRender)
method:pkg:bioC:491	(PatientGeneSets)
method:pkg:bioC:492	(pcaGoPromoter)
method:pkg:bioC:493	(pcaGoPromoter\.Hs\.hg19)
method:pkg:bioC:494	(pcaGoPromoter\.Mm\.mm9)
method:pkg:bioC:495	(pcaGoPromoter\.Rn\.rn4)
method:pkg:bioC:496	(pcaMethods)
method:pkg:bioC:497	(pcot2)
method:pkg:bioC:498	(PCpheno)
method:pkg:bioC:499	(pdInfoBuilder)
method:pkg:bioC:500	(pdmclass)
method:pkg:bioC:501	(PGSEA)
method:pkg:bioC:502	(pgUtils)
method:pkg:bioC:503	(phenoDist)
method:pkg:bioC:504	(phenoTest)
method:pkg:bioC:505	(phyloseq)
method:pkg:bioC:506	(pickgene)
method:pkg:bioC:507	(PICS)
method:pkg:bioC:508	(pint)
method:pkg:bioC:509	(pkgDepTools)
method:pkg:bioC:510	(plateCore)
method:pkg:bioC:511	(plgem)
method:pkg:bioC:512	(plier)
method:pkg:bioC:513	(PLPE)
method:pkg:bioC:514	(plw)
method:pkg:bioC:515	(ppiData)
method:pkg:bioC:516	(ppiStats)
method:pkg:bioC:517	(prada)
method:pkg:bioC:518	(PREDA)
method:pkg:bioC:519	(PREDAsampledata)
method:pkg:bioC:520	(predictionet)
method:pkg:bioC:521	(preprocessCore)
method:pkg:bioC:522	(PROcess)
method:pkg:bioC:523	(procoil)
method:pkg:bioC:524	(ProData)
method:pkg:bioC:525	(PROMISE)
method:pkg:bioC:526	(puma)
method:pkg:bioC:527	(pumadata)
method:pkg:bioC:528	(pvac)
method:pkg:bioC:529	(qpcrNorm)
method:pkg:bioC:530	(qpgraph)
method:pkg:bioC:531	(qrqc)
method:pkg:bioC:532	(qtbase)
method:pkg:bioC:533	(qtpaint)
method:pkg:bioC:534	(quantsmooth)
method:pkg:bioC:535	(QuasR)
method:pkg:bioC:536	(qvalue)
method:pkg:bioC:537	(r3Cseq)
method:pkg:bioC:538	(R453Plus1Toolbox)
method:pkg:bioC:539	(rama)
method:pkg:bioC:540	(RamiGO)
method:pkg:bioC:541	(randPack)
method:pkg:bioC:542	(RankProd)
method:pkg:bioC:543	(RbcBook1)
method:pkg:bioC:544	(RBGL)
method:pkg:bioC:545	(RBioinf)
method:pkg:bioC:546	(Rbowtie)
method:pkg:bioC:547	(rbsurv)
method:pkg:bioC:548	(RCASPAR)
method:pkg:bioC:549	(RCytoscape)
method:pkg:bioC:550	(Rdisop)
method:pkg:bioC:551	(RDRToolbox)
method:pkg:bioC:552	(rdxml)
method:pkg:bioC:553	(ReadMatcher)
method:pkg:bioC:554	(ReadqPCR)
method:pkg:bioC:555	(reb)
method:pkg:bioC:556	(RedeR)
method:pkg:bioC:557	(REDseq)
method:pkg:bioC:558	(RefPlus)
method:pkg:bioC:559	(Repitools)
method:pkg:bioC:560	(ReQON)
method:pkg:bioC:561	(Resourcerer)
method:pkg:bioC:562	(rfcdmin)
method:pkg:bioC:563	(rfcprim)
method:pkg:bioC:564	(rGADEM)
method:pkg:bioC:565	(Rgraphviz)
method:pkg:bioC:566	(rhdf5)
method:pkg:bioC:567	(rheumaticConditionWOLLBOLD)
method:pkg:bioC:568	(rHVDM)
method:pkg:bioC:569	(Ringo)
method:pkg:bioC:570	(RLMM)
method:pkg:bioC:571	(RMAGEML)
method:pkg:bioC:572	(Rmagpie)
method:pkg:bioC:573	(RMAPPER)
method:pkg:bioC:574	(rMAT)
method:pkg:bioC:575	(RmiR)
method:pkg:bioC:576	(RNAinteract)
method:pkg:bioC:577	(RNAinteractMAPK)
method:pkg:bioC:578	(RNAither)
method:pkg:bioC:579	(RNAseq)
method:pkg:bioC:580	(RNASeqGenie)
method:pkg:bioC:581	(rnaSeqMap)
method:pkg:bioC:582	(RnaSeqTutorial)
method:pkg:bioC:583	(ROC)
method:pkg:bioC:584	(Rolexa)
method:pkg:bioC:585	(RPA)
method:pkg:bioC:586	(RpsiXML)
method:pkg:bioC:587	(rqubic)
method:pkg:bioC:588	(Rredland)
method:pkg:bioC:589	(Rsamtools)
method:pkg:bioC:590	(rsbml)
method:pkg:bioC:591	(Rsubread)
method:pkg:bioC:592	(RTCA)
method:pkg:bioC:593	(RTools4TB)
method:pkg:bioC:594	(RTopper)
method:pkg:bioC:595	(rtracklayer)
method:pkg:bioC:596	(Rtreemix)
method:pkg:bioC:597	(Ruuid)
method:pkg:bioC:598	(RWebServices)
method:pkg:bioC:599	(safe)
method:pkg:bioC:600	(sagenhaft)
method:pkg:bioC:601	(SAGx)
method:pkg:bioC:602	(SamSPECTRAL)
method:pkg:bioC:603	(SBMLR)
method:pkg:bioC:604	(ScISI)
method:pkg:bioC:605	(segmentSeq)
method:pkg:bioC:606	(seqbias)
method:pkg:bioC:607	(seqLogo)
method:pkg:bioC:608	(serumStimulation)
method:pkg:bioC:609	(ShortRead)
method:pkg:bioC:610	(sigaR)
method:pkg:bioC:611	(siggenes)
method:pkg:bioC:612	(sigPathway)
method:pkg:bioC:613	(SIM)
method:pkg:bioC:614	(simpIntLists)
method:pkg:bioC:615	(simpleaffy)
method:pkg:bioC:616	(sizepower)
method:pkg:bioC:617	(SJava)
method:pkg:bioC:618	(SLGI)
method:pkg:bioC:619	(SLqPCR)
method:pkg:bioC:620	(SMAP)
method:pkg:bioC:621	(smoothMiner)
method:pkg:bioC:622	(SNAData)
method:pkg:bioC:623	(snapCGH)
method:pkg:bioC:624	(snm)
method:pkg:bioC:625	(SNPchip)
method:pkg:bioC:626	(snpMatrix)
method:pkg:bioC:627	(snpStats)
method:pkg:bioC:628	(solBase)
method:pkg:bioC:629	(spade)
method:pkg:bioC:630	(SpeCond)
method:pkg:bioC:631	(SPIA)
method:pkg:bioC:632	(SpikeIn)
method:pkg:bioC:633	(SpikeInSubset)
method:pkg:bioC:634	(spikeLI)
method:pkg:bioC:635	(spkTools)
method:pkg:bioC:636	(splicegear)
method:pkg:bioC:637	(SpliceJunctionAnnotation)
method:pkg:bioC:638	(splots)
method:pkg:bioC:639	(spotSegmentation)
method:pkg:bioC:640	(SQUADD)
method:pkg:bioC:641	(SRAdb)
method:pkg:bioC:642	(sscore)
method:pkg:bioC:643	(ssize)
method:pkg:bioC:644	(SSPA)
method:pkg:bioC:645	(Starr)
method:pkg:bioC:646	(stepNorm)
method:pkg:bioC:647	(stepwiseCM)
method:pkg:bioC:648	(stjudem)
method:pkg:bioC:649	(Streamer)
method:pkg:bioC:650	(survcomp)
method:pkg:bioC:651	(sva)
method:pkg:bioC:652	(syslibGTK)
method:pkg:bioC:653	(TargetSearch)
method:pkg:bioC:654	(TargetSearchData)
method:pkg:bioC:655	(TCGAMethylation450k)
method:pkg:bioC:656	(TDARACNE)
method:pkg:bioC:657	(TEQC)
method:pkg:bioC:658	(ternarynet)
method:pkg:bioC:659	(tigre)
method:pkg:bioC:660	(tilingArray)
method:pkg:bioC:661	(timecourse)
method:pkg:bioC:662	(tinesath1cdf)
method:pkg:bioC:663	(tinesath1probe)
method:pkg:bioC:664	(tkWidgets)
